,Name,Price,Sold_out,Location
121,[ลูกค้าใหม่ 1 บาท]‼️New‼️ บราวนี่ถาด 1 ปอนด์ คลาสสิคบราวนี่ ไม่มีไขมันทรานส์ บราวนี่พิซซ่า,87.0,45000.0,จังหวัดขอนแก่น
122,เม็ดมะม่วงหิมพานต์อบ ขนาด500กรัม เม็ดเต็ม เกรดB อบสดใหม่หอมอร่อย #เม็ดมะม่วงหิมพานต์,139.0,522000.0,จังหวัดสตูล
123,ช๊อกโกแลตสอดไส้สตอเบอรี่สุดฮิตจากญี่ปุ่น 60กรัม มี3รส นม ชาเขียว ช๊อกโกแลต,35.0,191000.0,จังหวัดกรุงเทพมหานคร
124,[ขายดี] MALEE เงาะกระป๋อง ขนาด 8.25 oz  234g.,48.0,159000.0,จังหวัดสมุทรปราการ
125,fluorine  ขนมถุงสุ่ม กว่า100 ชนิด ขนมหมูสุ่ม  ถุงสุ่มขนม ขนมกินเล่นถูกๆ ถุงสุ่มขนม ขนมถุงสุ่ม ขนมขบเคี้ยว ขนมทานเล่น ถุงเซอร์ไพร์ ห่อยักษ์ใหญ่,243.0,62.0,ต่างประเทศ
126,ขนมโยเกิร์ตก้อน โยเกิร์ตกรอบ ขนมอร่อย โยเกิร์ตสมูทตี้อบกรอบ เปรี้ยวหวาน กรอบฟู 45g,45.0,951.0,จังหวัดกรุงเทพมหานคร
127,N Waffle 🧇 ขนมวาฟเฟิลเบลเยี่ยมพร้อมทาน 1 ชิ้น (ผลิตสดใหม่ตามออเดอร์ ชิ้นใหญ่คุ้มค่า),19.0,31000.0,จังหวัดกรุงเทพมหานคร
128,ขนมสอดไส้ครีมรส ช็อคโกแลต triangle snack ไตรแองเกิล สแน็ค 8 กรัม x 24 ชิ้น ตรา แดท แดท,44.0,739.0,จังหวัดเชียงใหม่
129,🔥 พร้อมส่ง🔥 คุ้กกี้พระราชวัง (หลอด) white castle จากมาเล เวเฟอร์พระราชวัง ขนมโอโจ้,32.0,4000.0,จังหวัดสงขลา
130,‼️New‼️Matcha Green Tea Brownies 🍵ขนม มัทฉะบราวนี่ บราวนี่ชาเขียว หวานน้อย ไร้ไขมันทรานส์ ดีต่อสุขภาพ,19.0,3000.0,จังหวัดขอนแก่น
